ticker,Close,Date
zzzDOGE,0.095783002674580,12/07 00:00:00/22
zzzDOGE,0.098540000617504,12/08 00:00:00/22
zzzDOGE,0.096661999821663,12/09 00:00:00/22
zzzDOGE,0.096456997096539,12/10 00:00:00/22
zzzDOGE,0.092874996364117,12/11 00:00:00/22
zzzDOGE,0.090258002281189,12/12 00:00:00/22
zzzDOGE,0.090939998626709,12/13 00:00:00/22
zzzDOGE,0.088514000177383,12/14 00:00:00/22
zzzDOGE,0.084721997380257,12/15 00:00:00/22
zzzDOGE,0.075942002236843,12/16 00:00:00/22
zzzDOGE,0.079267002642155,12/17 00:00:00/22
zzzDOGE,0.078640997409821,12/18 00:00:00/22
zzzDOGE,0.071428999304771,12/19 00:00:00/22
zzzDOGE,0.074934996664524,12/20 00:00:00/22
zzzDOGE,0.073679000139236,12/21 00:00:00/22
zzzDOGE,0.076967000961304,12/22 00:00:00/22
zzzDOGE,0.077128998935223,12/23 00:00:00/22
zzzDOGE,0.077647998929024,12/24 00:00:00/22
zzzDOGE,0.075952000916004,12/25 00:00:00/22
zzzDOGE,0.075782999396324,12/26 00:00:00/22
zzzDOGE,0.073724001646042,12/27 00:00:00/22
zzzDOGE,0.070381000638008,12/28 00:00:00/22
zzzDOGE,0.071192026138306,12/29 00:00:00/22
zzzETC,19.521518707275391,11/29 00:00:00/22
zzzETC,20.291522979736328,11/30 00:00:00/22
zzzETC,19.730707168579102,12/01 00:00:00/22
zzzETC,19.858551025390625,12/02 00:00:00/22
zzzETC,19.232702255249023,12/03 00:00:00/22
zzzETC,19.512384414672852,12/04 00:00:00/22
zzzETC,19.441295623779297,12/05 00:00:00/22
zzzETC,19.552806854248047,12/06 00:00:00/22
zzzETC,18.707273483276367,12/07 00:00:00/22
zzzETC,19.172128677368164,12/08 00:00:00/22
zzzETC,19.145381927490234,12/09 00:00:00/22
zzzETC,19.136304855346680,12/10 00:00:00/22
zzzETC,18.914009094238281,12/11 00:00:00/22
zzzETC,18.544683456420898,12/12 00:00:00/22
zzzETC,19.252872467041016,12/13 00:00:00/22
zzzETC,18.787687301635746,12/14 00:00:00/22
zzzETC,18.142051696777344,12/15 00:00:00/22
zzzETC,15.927059173583984,12/16 00:00:00/22
zzzETC,16.192483901977539,12/17 00:00:00/22
zzzETC,15.967288970947266,12/18 00:00:00/22
